,,02/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,06/2018,07/2018,08/2018,09/2018,10/2018,11/2018,12/2018,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019
Good Mythical Morning,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7638521,7756696,8035902,8192652,8403574,8690386,8975588,9226908,9490719,9797007,10308878,10481641,10697985,11008449,11185945,11260210,11425572,11542437,11678879,11768115,11894698,12222752,12306770,12358242,12435092,12463727,12463727,12463727,12463727,12463727,12973840,13068632,13273306,,,,,,,,,,,,,,,,,,,,,
RocketJump,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7615504,7623931,7646328,7659320,7674370,7680340,7723683,7745075,7754649,7761117,7773491,7778067,7778504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOGSCAST Lewis & Simon,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7305182,7309677,7326414,7337356,7349806,7373115,7375910,7371207,,,7368139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheDiamondMinecart // DanTDM,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7257601,7429004,7856786,8116541,8429514,8754450,9043501,9356074,9772919,10174638,10605544,11009172,11526670,12082694,12388131,12624918,12927695,13209424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Oakley,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7186037,7265618,7503040,7647455,7725981,7801794,7893021,7958079,8020462,8059939,8099234,8109446,8137009,8141515,8139504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWE,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6925294,7074385,7507075,7821113,8171904,8592787,9013354,9566869,10119853,10712919,11201859,11512857,11845157,12323386,12641938,12847299,13140979,13478449,13837432,14199308,14652131,15848015,16085201,16449234,16713562,16795631,16795631,16795631,16795631,16795631,21838059,22551922,23943983,24623322,27631448,31635899,33998134,34486674,36223936,36486924,37296328,37613931,38468837,39350570,40083,40509,41446,41621,42061,42627,43254,495000000,518000000,522000000
Ed Sheeran,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6784746,6879242,7126957,7318375,7553880,7796362,7951536,8141523,8329789,8509099,8671363,8796552,8938564,9124749,9258491,9384469,9519932,9639647,9881032,11159324,12651047,15984704,16956283,18133680,18763771,18945930,18945930,18945930,18945930,18945930,27411050,28151243,29223278,29619059,31683310,33470518,34500891,34696205,35315393,35418398,35760242,35951537,36406161,36875018,37545593,37955875,39234218,39479518,40153036,41167234,41862003,424000000,428000000,43000000
Bart Baker,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6315278,6375495,6544116,,,,7302215,7475917,7603405,7742423,7903248,8028044,8144661,8373107,8490359,8571209,8679684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dude Perfect,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6188918,6301846,6687805,6936196,7240478,7578005,7988177,8459628,8833712,9275448,9690640,10216437,10671868,11618159,12092258,12736507,13519413,14493895,15167667,15542995,16096209,17949580,18361909,19165297,20348775,20507011,20507011,20507011,20507011,20507011,26587241,27432673,28418483,28966769,31047245,33954419,35038027,35357304,36314144,36484481,36867741,37278609,38018395,38856572,39850921,40932934,42359619,42561307,43203278,44250960,45591509,463000000,474000000,477000000
NORMAN FAIT DES VIDOS,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6378980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jacksepticeye,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6384128,,7161783,7608646,8053766,8609841,9070311,9497240,10079732,10582311,11028990,11699750,12107705,12440327,12992829,13389710,14044880,14409402,14767288,15358085,15508060,15771541,15971568,16034234,16034234,16034234,16034234,16034234,17907338,18132243,18499784,18642926,19284653,20100856,20459603,20523066,20699901,20740583,20855608,20947938,21193771,21419205,21685095,21848710,22064842,22097527,22275098,22484124,22787252,229000000,229000000,23000000
Fernanfloo,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7062823,7697564,8417444,9132776,9724953,10468296,11692585,12461191,13390743,14555932,15208037,15897270,16783861,17501464,18449591,19167885,19930584,21188910,21588001,22165830,22488623,22588309,22588309,22588309,22588309,22588309,26274822,26581237,27066139,27380158,28191181,29121183,29798029,29956447,30349197,30421202,30655372,30905425,31349159,31902578,32323539,32537090,32955354,33026490,33239539,33497389,33736014,339000000,343000000,344000000
5incominutos,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7206793,7553599,7763846,8045451,8341529,8509072,8779799,9158328,9306459,9515576,9769115,9893771,10089468,10167324,10251879,10390898,10530867,10710986,10759008,10769811,10769811,10769811,10769811,10769811,,,,,,,,,,,,,,,,,,,,,,,,
The Slow Mo Guys,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7350206,7472741,7598820,7894360,8039027,8173063,8355041,8485426,8558917,8617835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiz Khalifa,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7648816,7939339,8159505,8396607,8689554,8908539,9119770,9381978,9621026,9895134,10113319,10385554,10944250,11113085,11368340,11525294,11609322,11609322,11609322,11609322,11609322,13803034,14010579,14327034,14452795,15095130,15865533,,,,,,,,,,,,,,,,,,
whinderssonnunes,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8266256,8920723,9759209,10996057,11805531,12730018,13872076,14658298,15779974,16678779,17588188,19494720,19977265,20785917,21280401,21379987,21379987,21379987,21379987,21379987,26727729,27205223,28009794,28266152,29790314,31062373,31629559,31740259,32390241,32464693,32722797,32903016,33748358,34392036,35039246,35337177,35724905,35798195,35954906,36404675,36793345,371000000,377000000,378000000
Rclbeauty101,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7828316,8159967,8458117,9021680,9562408,9788983,9999188,10272977,10700834,10978252,11294131,11778495,11848698,12021432,12097892,12125218,12125218,12125218,12125218,12125218,12794493,12896000,13072205,,,,,,,,,,,,,,,,,,,,,
PopularMMOs,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7709218,7917813,8232523,8693947,8927863,9114645,9372896,9621822,10176869,10513202,10907156,11417732,11553466,11792069,11956293,12037016,12037016,12037016,12037016,12037016,13577443,13772028,14078647,14184743,14631469,,,,,,,,,,,,,,,,,,,
EeOneGuy,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7455480,7945151,8344706,8819029,9116207,9449615,9854100,10182044,10505614,10765118,11045118,11415493,11498616,11750394,11860873,11884112,11884112,11884112,11884112,11884112,12538256,12618730,,,,,,,,,,,,,,,,,,,,,,
CrazyRussianHacker,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7584419,8019837,8335137,8594951,8715426,8911119,9142796,9334721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanalCanalha,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7562802,8063924,8745486,9207800,9602595,10167146,10533388,10991016,11445258,11877543,12635047,12790828,13107600,13248912,13278114,13278114,13278114,13278114,13278114,15509435,15692964,16099134,16200106,16712365,17155025,17408714,17457421,17580837,17604458,17680613,17762685,17888196,,,,,,,,,,,
EnriqueIglesias,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7773151,8217097,8489255,8705301,8922710,9108909,9302484,,9760490,10553438,10796307,11169758,11383475,11449643,11449643,11449643,11449643,11449643,13324986,13523713,13816043,13929676,,,,,,,,,,,,,,,,,,,,
CalvinHarris,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7706376,8398709,8744237,9108764,9491083,9805079,10109123,10325416,10545367,10949670,11048043,11196572,11403417,11458606,11458606,11458606,11458606,11458606,12654493,12729175,,,,,,,,,,,,,,,,,,,,,,
RomanAtwoodVlogs,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8481654,8950970,9293825,9817226,10373826,10942217,11261967,11661776,12233471,12360481,12663718,12852678,12920317,12920317,12920317,12920317,12920317,14234869,14308032,14380412,14423651,,,,,,,,,,,,,,,,,,,,
rezendeevil,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019306,8303569,8677312,9225275,9602695,10069184,10400791,10772514,11400126,11593095,11794418,11956197,12033403,12033403,12033403,12033403,12033403,15062098,15388229,15992056,16215901,17485214,18925234,19667202,19850208,20439217,20540128,20916815,21159627,21771669,22337795,22687138,22968394,23643295,23741422,23994481,24414776,24688265,25000000,254000000,256000000
Trap Nation,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8589778,9232894,9961479,10624765,11270991,11855278,12437079,13536987,13830866,14297420,14578341,14663908,14663908,14663908,14663908,14663908,17833551,18221843,18850418,19104172,20450541,21954071,22778851,22967946,23512438,23609553,23916155,24104363,24508160,24928988,25485302,25882406,26462407,26553467,26789765,27043767,27291957,275000000,277000000,278000000
Get Movies,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8365409,8785880,9203684,9611309,9888081,10169698,10939265,11309695,11720496,12040361,12128527,12128527,12128527,12128527,12128527,15630672,16107753,16840053,17106632,18527922,19816957,20560429,20692852,20967615,21014395,21279977,21512326,21962426,22334174,23045063,23346422,24173591,24543709,25273471,27668405,28501513,288000000,294000000,296000000
W2S,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8644476,,,9474043,9739235,10078971,10149575,10362786,10542078,10568914,10568914,10568914,10568914,10568914,,,,,,,,,,,,,,,,,,,,,,,,
DanTDM,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13681244,14031149,14356052,14890401,15069520,15423376,15632329,15712077,15712077,15712077,15712077,15712077,17719473,17955558,18329113,18480238,19181256,20042561,20336560,20395979,20561273,20590690,20707760,20732917,20924049,21087448,21226582,21345240,21574362,21606968,21709074,21890302,22094522,222000000,,
NoCopyrightSounds,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9256024,9631843,10034743,10843391,11104318,11520031,11771770,11853715,11853715,11853715,11853715,11853715,14610047,14918251,15422340,15624255,16691282,17871076,18551490,18723671,19222179,19312029,19594028,19757063,20123438,20522035,21003415,21361564,21970037,22093907,22439026,22885385,23326614,237000000,242000000,244000000
FBE,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14867823,14987781,15284970,15427992,15586833,15718583,15748713,15748713,15748713,15748713,15748713,16729767,16818513,16951269,17020955,17376839,17804814,18020520,18048738,18133174,18150681,18191388,18253539,18359980,18434654,,,,,,,,,,
Canal KondZilla,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9651761,10841734,13266972,13865580,15052213,15736907,15933673,15933673,15933673,15933673,15933673,26668308,28063151,30063152,30902040,34658796,38426645,40672781,41171112,42546574,42790998,43596471,44121376,45275049,46286722,47529185,48228800,49457015,49659417,50225356,50839940,51714709,526000000,537000000,54000000
SET India,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9487246,10147926,11526335,11916033,12603100,13077916,13216455,13216455,13216455,13216455,13216455,18930063,19685028,21190745,21840448,25199520,29856381,32681704,33418504,35241786,35600119,36889393,37623294,39373728,41107246,43410752,45247986,48356445,49013749,50677148,52769548,55369460,575000000,605000000,613000000
The Late Late Show with James Corden,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9482846,9735686,10274386,10531263,11251153,11395301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LittleBabyBum,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9732095,10494368,10744780,11105140,11414239,11517094,11517094,11517094,11517094,11517094,,,14684587,14808851,15468867,,,,,,,,,,,,,,,,,,,
YouTube Movies,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47060020,47435217,49595113,50041998,50180497,50180497,50180497,50180497,50180497,56433519,,,,,,,,,,,,,,,,,,,,,,,
Jesse,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10316561,10319412,10320759,10320759,10320759,10320759,10320759,,,,,,,,,,,,,,,,,,,,,,,,
???? ? ???????,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10293368,10480905,,,10533266,10533266,,13266016,13562085,14017110,14152804,15028675,16277880,,,,,,,,,,,,,,,,,,
ChuChu TV Nursery Rhymes & Kids Songs,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10374713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liza Koshy,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10275471,10398579,10398579,10398579,10398579,10398579,13495745,13690854,14005784,14143148,14864805,15822324,,,,,,,,,,,,,,,,,,
The Tonight Show Starring Jimmy?,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13985471,13985471,13985471,13985471,13985471,15485651,15643297,15905840,16006593,16903551,17600520,18233483,18417485,18801951,18891575,19061411,19183397,19484919,19763652,20243048,20522559,21133820,21224000,21435867,21763270,22057911,,,
The Late Late Show with James?,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11433402,11433402,11433402,11433402,11433402,13383369,13497911,13705672,13798450,,15805151,,,,,,,,,,18942019,19603811,19720373,,,,,,
????? ? ???????,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10533266,10533266,,,10533266,,,,,,,,,,,,,,,,,,,,,,,,
ChuChu TV Nursery Rhymes & Kids?,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10474733,10474733,10474733,10474733,10474733,14795847,15231247,16014480,16278282,17778787,19318378,20031011,20213729,20729054,20818635,21085947,21238093,21664989,22066443,22522021,22872166,23525094,23675046,24142380,25279851,26190525,,,
AuthenticGames,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10265738,10265738,10265738,10265738,10265738,12592118,12844744,13237072,,,,,,,,,,,,,,,,,,,,,
LuisFonsi,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17446948,17955105,18598477,18839749,18898208,18783471,18719607,18703184,18645160,18634652,18604798,18555516,18507646,18453871,,,,,,,,,,
Logan Paul Vlogs,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16400506,16769578,17050511,17138665,17568757,18121194,18527020,18560332,18583322,18607349,18616753,18660644,18778203,18815934,18830295,,,,,,,,,
LittleBabyBum ,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14173163,,,,,,,,,,,,,,,,,,,,,,,
jbalvin,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13577879,13787402,14186500,14172340,,,,,,,,,,,,,,,,,,,,
Maluma,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13540983,13914222,14558924,14753532,15257084,,,,,,,,,,,,,,,,,,,
Jake Paul,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13479297,13766499,14188137,14474049,15366030,16435814,17119350,17233305,17509430,17536111,17600290,,,,,,,,,,,,,
Zee Music Company,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12777458,13484724,14652064,15122148,18054517,22451613,24627203,25139665,26569300,26818688,27667914,28178799,29236910,30642349,32646294,34259948,37531813,38104557,39849283,41269844,42943303,448000000,471000000,477000000
5-Minute Crafts,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12709406,13927702,16009222,16995678,22484420,31417042,35905731,36898840,40126207,40814226,42792115,44190612,46513020,48518022,51403165,53009429,55786203,56207955,57648499,59202007,60380288,614000000,625000000,629000000
Luisito Comunica,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12332182,12958644,14072883,14448180,15811925,17449847,18459710,18674501,19238471,19383508,19898026,20288267,20844361,21450184,22219306,22726460,23957423,24127362,24712860,25379768,26329416,269000000,28000000,282000000
Luccas Neto,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12233043,12897365,13801510,14159790,15922823,18130318,19328864,19649012,20508948,20637242,21172201,21506026,22089657,22589379,,,,,,,,,,
WorkpointOfficial,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12140779,12568990,13200114,13447287,15305822,17237832,18192698,18465444,19121470,19244533,19666172,19927188,20486102,21063528,21953739,22510601,23473875,23646923,24108836,24587839,25244610,258000000,265000000,266000000
[????] ToyPudding TV,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12112946,12657401,13715011,14043316,,,19317422,19471660,20079143,20209950,20571752,20736223,21273003,21816071,22579333,23242677,24393639,24656126,25149694,25550768,25676521,256000000,,
LittleBabyBu,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14360061,,,,,,,,,,,,,,,,,,,,,,
Ozuna,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12464663,13684986,14147595,16068574,18083030,19562354,19827135,20646353,20787771,21261934,21543036,22205790,22836197,23472725,23889400,24544384,24637102,25188128,25610363,25889999,261000000,266000000,268000000
Ryan ToysReview,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12450057,13002717,,,,,,,,,,,,,,,,,,,22000000,,
Justin Bieber,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37846752,38207266,39379185,40682829,41287806,41435540,41917408,41995191,42249514,42442555,42766558,43165200,43737045,44146067,45004850,45176578,45616246,46054074,46461023,469000000,474000000,476000000
Rihanna,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28933127,29112057,29676603,30396634,30658745,30726108,30896655,30916399,30972399,30996720,31082214,31211878,31428237,31620096,31997541,32082966,32310218,32566940,32809876,33000000,332000000,333000000
J Balvin,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15004194,15220700,16491115,17757316,18365304,18507967,18801383,18872234,19130737,19253833,19552198,19850808,20276683,20558724,21004424,21066976,21376469,21774108,22181949,225000000,229000000,23000000
The Chainsmokers,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14019766,14285039,15055274,,,,,,,,,,,,,,,,,,,
Shawn Mendes,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13054625,,,,,,,,,,,,,,,,,,23265758,239000000,244000000,245000000
Katy Perry,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28926545,29889163,30929994,31473749,31559399,31812883,31839306,31831783,31856278,31999331,32174483,32542046,32836004,33628384,33873257,34220681,34568248,34926509,352000000,357000000,358000000
Shakira,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20574812,21434676,22893164,23390549,23515813,23865632,23922400,24073606,24161974,24349835,24546581,24804076,24997112,25350129,25451719,,,26227988,265000000,269000000,27000000
Selena Gomez,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18172345,18960781,19536607,19757398,19816326,20001836,20032702,20129059,20179391,20306208,20449596,20678465,20860239,21146414,21211453,21351240,21529982,21675495,,239000000,24000000
Maroon 5,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16479785,17524751,19377362,20351834,20587866,21672675,21813370,22233767,22518566,23014999,23512326,24589933,25194366,26083209,26197008,26482386,26758410,27019605,275000000,286000000,289000000
Enrique Iglesias,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14505312,15190193,15769338,,,,,,,,,,,,,,,,,,
Demi Lovato,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13596491,,,,,,,,,,,,,,,,,,,,
Taylor Swift,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30256953,30858380,31202375,31292234,31541059,31580299,31704782,31800502,32003408,32213446,32470255,32632987,34014771,34118665,34727335,35089255,35769404,361000000,366000000,367000000
EminemMusic,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28887813,29687084,32277430,33007728,34016671,34126197,34512240,34795228,35331021,35871428,36472152,36873071,37539664,37678041,38080157,38493947,38897105,393000000,398000000,40000000
One Direction,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27588646,27987464,28180150,28251856,28426956,28453903,28552228,28608292,28664576,28755714,28892843,29023272,29304260,29364746,29513892,29676512,29873600,30000000,303000000,303000000
Ariana Grande`,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23969339,25617971,26473332,26615199,27355766,27574403,28922278,29683065,30531000,31882061,33755575,34600941,35846656,36023604,,,,,,
Luis Fonsi Oficial,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20215329,21499595,,,,,,,,,,,,,,,,,,
