name,time,index,rank,value,lastValue,age
Jurassic Park (1993),1994-06-01,31,3,82825878.6039085,82825878.6039085,0.8
The Lion King (1994),1994-06-01,31,4,70261343.6694523,0,1
Indiana Jones and the Temple of Doom (1984),1994-06-01,31,5,62096198.9612343,62096198.9612343,0
Ghostbusters II (1989),1994-06-01,31,6,60358396.9726994,60358396.9726994,0
Lethal Weapon 3 (1992),1994-06-01,31,7,60304524.0594433,60304524.0594433,0.6
Indiana Jones and the Last Crusade (1989),1994-06-01,31,8,60117001.4271394,60117001.4271394,0
Beverly Hills Cop II (1987),1994-06-01,31,9,58999405.7809692,58999405.7809692,0
Return of the Jedi (1983),1994-06-01,31,10,58857041.0006439,58857041.0006439,0
Terminator 2: Judgment Day (1991),1994-06-01,31,11,58416351.8009262,58416351.8009262,0.5
Back to the Future Part II (1989),1994-06-01,31,12,56011412.1021378,56011412.1021378,0.1
Batman (1989),1994-12-01,32,1,82920128.6575987,82920128.6575987,0
Batman Returns (1992),1994-12-01,32,2,82879660.0658672,82879660.0658672,0.5
Jurassic Park (1993),1994-12-01,32,3,82825878.6039085,82825878.6039085,0.7
The Lion King (1994),1994-12-01,32,4,70261343.6694523,70261343.6694523,0.9
Indiana Jones and the Temple of Doom (1984),1994-12-01,32,5,62096198.9612343,62096198.9612343,0
Interview with the Vampire (1994),1994-12-01,32,6,61614728.48994,0,1
Ghostbusters II (1989),1994-12-01,32,7,60358396.9726994,60358396.9726994,0
Lethal Weapon 3 (1992),1994-12-01,32,8,60304524.0594433,60304524.0594433,0.5
Indiana Jones and the Last Crusade (1989),1994-12-01,32,9,60117001.4271394,60117001.4271394,0
Beverly Hills Cop II (1987),1994-12-01,32,10,58999405.7809692,58999405.7809692,0
Return of the Jedi (1983),1994-12-01,32,11,58857041.0006439,58857041.0006439,0
Terminator 2: Judgment Day (1991),1994-12-01,32,12,58416351.8009262,58416351.8009262,0.4
Batman Forever (1995),1995-06-01,33,1,88025315.4729921,0,1
Batman (1989),1995-06-01,33,2,82920128.6575987,82920128.6575987,0
Batman Returns (1992),1995-06-01,33,3,82879660.0658672,82879660.0658672,0.4
Jurassic Park (1993),1995-06-01,33,4,82825878.6039085,82825878.6039085,0.6
The Lion King (1994),1995-06-01,33,5,70261343.6694523,70261343.6694523,0.8
Indiana Jones and the Temple of Doom (1984),1995-06-01,33,6,62096198.9612343,62096198.9612343,0
Interview with the Vampire (1994),1995-06-01,33,7,61614728.48994,61614728.48994,0.9
Ghostbusters II (1989),1995-06-01,33,8,60358396.9726994,60358396.9726994,0
Lethal Weapon 3 (1992),1995-06-01,33,9,60304524.0594433,60304524.0594433,0.4
Indiana Jones and the Last Crusade (1989),1995-06-01,33,10,60117001.4271394,60117001.4271394,0
Beverly Hills Cop II (1987),1995-06-01,33,11,58999405.7809692,58999405.7809692,0
Return of the Jedi (1983),1995-06-01,33,12,58857041.0006439,58857041.0006439,0
Batman Forever (1995),1995-12-01,34,1,88025315.4729921,88025315.4729921,0.9
Batman (1989),1995-12-01,34,2,82920128.6575987,82920128.6575987,0
Batman Returns (1992),1995-12-01,34,3,82879660.0658672,82879660.0658672,0.3
Jurassic Park (1993),1995-12-01,34,4,82825878.6039085,82825878.6039085,0.5
The Lion King (1994),1995-12-01,34,5,70261343.6694523,70261343.6694523,0.7
Ace Ventura: When Nature Calls (1995),1995-12-01,34,6,62429046.8307212,0,1
Indiana Jones and the Temple of Doom (1984),1995-12-01,34,7,62096198.9612343,62096198.9612343,0
Interview with the Vampire (1994),1995-12-01,34,8,61614728.48994,61614728.48994,0.8
Ghostbusters II (1989),1995-12-01,34,9,60358396.9726994,60358396.9726994,0
Lethal Weapon 3 (1992),1995-12-01,34,10,60304524.0594433,60304524.0594433,0.3
Indiana Jones and the Last Crusade (1989),1995-12-01,34,11,60117001.4271394,60117001.4271394,0
Beverly Hills Cop II (1987),1995-12-01,34,12,58999405.7809692,58999405.7809692,0
Batman Forever (1995),1996-06-01,35,1,88025315.4729921,88025315.4729921,0.8
Batman (1989),1996-06-01,35,2,82920128.6575987,82920128.6575987,0
Batman Returns (1992),1996-06-01,35,3,82879660.0658672,82879660.0658672,0.2
Jurassic Park (1993),1996-06-01,35,4,82825878.6039085,82825878.6039085,0.4
Mission: Impossible (1996),1996-06-01,35,5,73692913.0238673,0,1
The Lion King (1994),1996-06-01,35,6,70261343.6694523,70261343.6694523,0.6
Twister (1996),1996-06-01,35,7,66593271.6141672,0,1
Ace Ventura: When Nature Calls (1995),1996-06-01,35,8,62429046.8307212,62429046.8307212,0.9
Indiana Jones and the Temple of Doom (1984),1996-06-01,35,9,62096198.9612343,62096198.9612343,0
Interview with the Vampire (1994),1996-06-01,35,10,61614728.48994,61614728.48994,0.7
Ghostbusters II (1989),1996-06-01,35,11,60358396.9726994,60358396.9726994,0
Lethal Weapon 3 (1992),1996-06-01,35,12,60304524.0594433,60304524.0594433,0.2
Batman Forever (1995),1996-12-01,36,1,88025315.4729921,88025315.4729921,0.7
Batman (1989),1996-12-01,36,2,82920128.6575987,82920128.6575987,0
Batman Returns (1992),1996-12-01,36,3,82879660.0658672,82879660.0658672,0.1
Jurassic Park (1993),1996-12-01,36,4,82825878.6039085,82825878.6039085,0.3
Independence Day (1996),1996-12-01,36,5,80235152.9797109,0,1
Mission: Impossible (1996),1996-12-01,36,6,73692913.0238673,73692913.0238673,0.9
The Lion King (1994),1996-12-01,36,7,70261343.6694523,70261343.6694523,0.5
Twister (1996),1996-12-01,36,8,66593271.6141672,66593271.6141672,0.9
Ace Ventura: When Nature Calls (1995),1996-12-01,36,9,62429046.8307212,62429046.8307212,0.8
Indiana Jones and the Temple of Doom (1984),1996-12-01,36,10,62096198.9612343,62096198.9612343,0
Interview with the Vampire (1994),1996-12-01,36,11,61614728.48994,61614728.48994,0.6
Ghostbusters II (1989),1996-12-01,36,12,60358396.9726994,60358396.9726994,0
The Lost World: Jurassic Park (1997),1997-06-01,37,1,114434475.918727,0,1
Batman Forever (1995),1997-06-01,37,2,88025315.4729921,88025315.4729921,0.6
